NETWORK,FEATURE,SUBJECT,N,P,K,ACC,PVAL
lang,sent v code,725.mat,72,0.666667,60,0.833333,0.001253
lang,sent v code,726.mat,72,0.666667,67,0.930556,0.000000
lang,sent v code,727.mat,72,0.666667,65,0.902778,0.000003
lang,sent v code,728.mat,72,0.666667,60,0.833333,0.001253
lang,sent v code,729.mat,72,0.666667,67,0.930556,0.000000
lang,sent v code,731.mat,72,0.666667,67,0.930556,0.000000
lang,sent v code,732.mat,72,0.666667,60,0.833333,0.001253
lang,sent v code,733.mat,72,0.666667,64,0.888889,0.000013
lang,sent v code,734.mat,72,0.666667,54,0.750000,0.082264
lang,sent v code,735.mat,72,0.666667,62,0.861111,0.000157
lang,sent v code,736.mat,72,0.666667,69,0.958333,0.000000
lang,sent v code,737.mat,72,0.666667,67,0.930556,0.000000
lang,sent v code,738.mat,72,0.666667,60,0.833333,0.001253
lang,sent v code,739.mat,72,0.666667,66,0.916667,0.000001
lang,sent v code,740.mat,72,0.666667,60,0.833333,0.001253
lang,sent v code,743.mat,72,0.666667,66,0.916667,0.000001
lang,sent v code,744.mat,72,0.666667,62,0.861111,0.000157
lang,sent v code,745.mat,72,0.666667,63,0.875000,0.000048
lang,sent v code,759.mat,72,0.666667,67,0.930556,0.000000
lang,sent v code,760.mat,72,0.666667,67,0.930556,0.000000
lang,sent v code,761.mat,72,0.666667,65,0.902778,0.000003
lang,sent v code,762.mat,72,0.666667,62,0.861111,0.000157
lang,sent v code,763.mat,72,0.666667,66,0.916667,0.000001
lang,sent v code,764.mat,72,0.666667,62,0.861111,0.000157
lang,sent v code,766.mat,72,0.666667,63,0.875000,0.000048
lang,math v str,725.mat,48,0.500000,31,0.645833,0.029732
lang,math v str,726.mat,48,0.500000,38,0.791667,0.000031
lang,math v str,727.mat,48,0.500000,27,0.562500,0.235440
lang,math v str,728.mat,48,0.500000,23,0.479167,0.667267
lang,math v str,729.mat,48,0.500000,30,0.625000,0.055701
lang,math v str,731.mat,48,0.500000,24,0.500000,0.557283
lang,math v str,732.mat,48,0.500000,38,0.791667,0.000031
lang,math v str,733.mat,48,0.500000,34,0.708333,0.002758
lang,math v str,734.mat,48,0.500000,26,0.541667,0.332733
lang,math v str,735.mat,48,0.500000,36,0.750000,0.000359
lang,math v str,736.mat,48,0.500000,28,0.583333,0.156163
lang,math v str,737.mat,48,0.500000,23,0.479167,0.667267
lang,math v str,738.mat,48,0.500000,30,0.625000,0.055701
lang,math v str,739.mat,48,0.500000,26,0.541667,0.332733
lang,math v str,740.mat,48,0.500000,25,0.520833,0.442717
lang,math v str,743.mat,48,0.500000,34,0.708333,0.002758
lang,math v str,744.mat,48,0.500000,28,0.583333,0.156163
lang,math v str,745.mat,48,0.500000,27,0.562500,0.235440
lang,math v str,759.mat,48,0.500000,26,0.541667,0.332733
lang,math v str,760.mat,48,0.500000,30,0.625000,0.055701
lang,math v str,761.mat,48,0.500000,30,0.625000,0.055701
lang,math v str,762.mat,48,0.500000,24,0.500000,0.557283
lang,math v str,763.mat,48,0.500000,35,0.729167,0.001044
lang,math v str,764.mat,48,0.500000,33,0.687500,0.006642
lang,math v str,766.mat,48,0.500000,25,0.520833,0.442717
lang,seq v for,725.mat,32,0.500000,20,0.625000,0.107664
lang,seq v for,726.mat,32,0.500000,16,0.500000,0.569975
lang,seq v for,727.mat,32,0.500000,17,0.531250,0.430025
lang,seq v for,728.mat,32,0.500000,17,0.531250,0.430025
lang,seq v for,729.mat,32,0.500000,14,0.437500,0.811457
lang,seq v for,731.mat,32,0.500000,19,0.593750,0.188543
lang,seq v for,732.mat,32,0.500000,26,0.812500,0.000268
lang,seq v for,733.mat,32,0.500000,15,0.468750,0.701693
lang,seq v for,734.mat,32,0.500000,16,0.500000,0.569975
lang,seq v for,735.mat,32,0.500000,17,0.531250,0.430025
lang,seq v for,736.mat,32,0.500000,14,0.437500,0.811457
lang,seq v for,737.mat,32,0.500000,21,0.656250,0.055092
lang,seq v for,738.mat,32,0.500000,21,0.656250,0.055092
lang,seq v for,739.mat,32,0.500000,15,0.468750,0.701693
lang,seq v for,740.mat,32,0.500000,16,0.500000,0.569975
lang,seq v for,743.mat,32,0.500000,17,0.531250,0.430025
lang,seq v for,744.mat,32,0.500000,19,0.593750,0.188543
